# Time, Raw Flux, Raw Flux Error, PCA Flux, PSF Flux
1.870453826555553633e+03,7.487492247838848369e-01,8.107992829980629201e-01,7.717322610166250652e-01,7.577242974092778249e-01
1.870474700323708021e+03,7.164753326620849627e-01,7.754768083374385945e-01,7.392074138006239359e-01,7.235628909766689265e-01
1.870641324161263128e+03,6.734090512183320554e-01,7.243177246872232189e-01,7.024097965270754695e-01,6.812613166414456245e-01
1.870662197906594656e+03,7.005554245144880454e-01,7.517218642735190581e-01,7.311763507557352826e-01,7.110633222923667951e-01
1.870787196210938419e+03,8.832323712912305558e-01,9.327359526281242541e-01,9.168009254359238414e-01,9.113356407491706168e-01
1.870828821618530355e+03,9.305719515803693165e-01,9.803912649347811259e-01,9.653420232755687280e-01,9.637980181010102898e-01
1.870995567436821602e+03,9.593439343828988886e-01,1.007730913077435009e+00,9.973279144156488307e-01,9.980834093484094449e-01
1.871016380155045226e+03,9.590753787680059705e-01,1.008389394797963412e+00,9.978396812044022512e-01,9.982046660752479372e-01
1.871037192875229948e+03,9.586092986351328893e-01,1.006695256588719056e+00,9.965397147285340873e-01,9.983337167857875283e-01
1.871058066633182534e+03,9.580297586969689361e-01,1.005914680553690266e+00,9.967129095426656704e-01,9.978667266101935995e-01
1.871183065084439022e+03,9.541928530559327104e-01,1.006036063268780589e+00,9.989594607792093850e-01,9.980560521215441350e-01
1.871287189807637333e+03,9.563977955804231490e-01,1.004859257665981609e+00,9.998962709010743577e-01,9.982831249557116982e-01
1.871328876319500068e+03,9.565937776069854959e-01,1.004999286382260548e+00,1.000255524321627343e+00,9.981684503644303597e-01
1.871349689057299656e+03,9.557668921621444991e-01,1.004015260403128940e+00,9.993749606706461286e-01,9.982089109580261077e-01
1.871370562829614528e+03,9.558560961888870056e-01,1.004481984775040138e+00,9.997579683810363660e-01,9.976051142332263977e-01
1.871391375565039652e+03,9.540499075655944905e-01,1.002300302842471291e+00,9.983523538879209847e-01,9.974262067759004369e-01
1.871412188299618037e+03,9.548388866434409650e-01,1.002700324887373595e+00,9.991758358638567206e-01,9.978102633550419709e-01
1.871433062067530500e+03,9.549991497004394203e-01,1.003051827205792446e+00,9.997507051152612068e-01,9.980280890087495083e-01
1.871453874798884272e+03,9.550512418395483705e-01,1.001885465920346219e+00,9.988866162557592521e-01,9.975383227678383813e-01
1.871516374015365727e+03,9.550328754363136552e-01,1.002422064412699321e+00,9.999976708171665063e-01,9.971579370862432290e-01
1.871537186738818946e+03,9.546505697775616861e-01,1.002019811370651103e+00,9.999214039326103087e-01,9.976167342174635522e-01
1.871558060495011659e+03,9.549047184097897434e-01,1.002028236103172709e+00,1.000048457620775322e+00,9.972680220352667657e-01
1.871578873213906263e+03,9.536539063525178994e-01,1.000045654330121270e+00,9.985444755196494215e-01,9.971724700127518881e-01
1.871599685930857959e+03,9.537700131727472330e-01,1.001354752833783612e+00,9.997165167711887790e-01,9.977714829460949675e-01
1.871620559681225131e+03,9.540190625588896856e-01,1.001360504966073206e+00,1.000168223702454506e+00,9.971699337723304302e-01
1.871641372394664586e+03,9.543008444278600066e-01,1.001525331526835760e+00,1.000314175585298893e+00,9.965359331089442829e-01
1.871683058852956492e+03,9.543807938433108706e-01,1.000234874315460099e+00,9.995342903493089626e-01,9.975478008386436946e-01
1.871724684271376191e+03,9.541360977042142588e-01,1.001116011168124986e+00,1.000070358171034401e+00,9.970542170014279337e-01
1.871745558014882135e+03,9.532585928163220812e-01,9.993852547657710028e-01,9.990078484761206745e-01,9.967472276556239574e-01
1.871766370722944885e+03,9.524868763176477238e-01,1.000695743077215649e+00,9.994636868362624105e-01,9.958515129495513207e-01
1.871787183431069934e+03,9.535047333435282546e-01,1.000847028805013972e+00,1.000431886349909538e+00,9.972192590364032938e-01
1.871808057174754367e+03,9.531528361574780339e-01,9.996878513345246464e-01,9.994229114836233885e-01,9.969399560003173733e-01
1.871828869884350524e+03,9.517788189015977673e-01,9.992037453337567765e-01,9.991190165649042054e-01,9.967347179051897488e-01
1.871849682594414844e+03,9.522551335077035217e-01,1.000786515642821062e+00,1.000406012294155600e+00,9.968462739798654715e-01
1.871870556340887333e+03,9.522735459885899312e-01,9.991984113347778251e-01,9.987595563432102308e-01,9.971616440254553737e-01
1.871891369053615790e+03,9.513995870659999188e-01,9.999405382997693659e-01,9.996036609810905471e-01,9.968808622805205299e-01
1.871912181768499750e+03,9.526438342574019558e-01,9.999261712010413250e-01,9.997322897932187091e-01,9.964404733033788153e-01
1.871933055520024254e+03,9.526080152332252471e-01,1.000020132876964229e+00,9.998679399009021695e-01,9.964749708832782993e-01
1.871974680959481475e+03,9.506008577791781322e-01,9.991919246384673992e-01,9.990642742934394693e-01,9.963817641516625745e-01
1.871995554717630739e+03,9.516994641539624489e-01,9.986727711551127706e-01,9.988642665663899356e-01,9.964653423739442406e-01
1.872016367443422496e+03,9.521484733789403743e-01,9.992002104965903575e-01,9.991260548940075203e-01,9.965461108683953961e-01
1.872037180171643058e+03,9.525566204689622785e-01,9.995877670539234927e-01,9.999015337620069666e-01,9.958105516984827599e-01
1.872058053937057366e+03,9.511545395534748426e-01,9.998787953650102311e-01,9.999073153097919331e-01,9.963816020535624096e-01
1.872078866670085972e+03,9.523459325772405393e-01,1.000287590041459396e+00,1.000493319844868001e+00,9.961473192162595414e-01
1.872099679405413099e+03,9.519514100126441614e-01,9.993554774897470683e-01,9.998837725588504144e-01,9.961901740231652314e-01
1.872120553177702732e+03,9.521125223256302617e-01,1.000439485401389161e+00,1.000764635589317830e+00,9.966692601321129885e-01
1.872141365917242410e+03,9.515217929962984655e-01,9.984269701082555404e-01,9.990131779860358385e-01,9.966347444169060266e-01
1.872162178658626544e+03,9.505631038040008862e-01,1.001502644685684063e+00,1.000867662627062726e+00,9.963407633945670083e-01
1.872183052436897015e+03,9.526319817113706456e-01,1.000041557814382642e+00,1.000133501896226296e+00,9.961617022354384288e-01
1.872203865181308856e+03,9.517143423686327264e-01,9.996791766755265263e-01,9.995907215674482149e-01,9.959609310237920177e-01
1.872224677926856657e+03,9.519786196428261515e-01,9.991997238041586682e-01,9.993992250374817976e-01,9.962924616363236785e-01
1.872245551708520452e+03,9.522675977309783546e-01,1.000272079020024130e+00,1.000529472897820460e+00,9.969173805283378931e-01
1.872266364455502980e+03,9.510656588984611748e-01,9.989889128733746571e-01,9.991975156937478175e-01,9.960853930996167449e-01
1.872287177202766543e+03,9.523049154692879714e-01,9.998251021426205476e-01,1.000284368292375436e+00,9.961158839406680787e-01
1.872308050985264572e+03,9.523635463193762529e-01,1.000560766606154672e+00,1.000900093383042533e+00,9.956985359407342084e-01
1.872328863732671152e+03,9.518114025312309767e-01,1.000275090305329240e+00,1.000608593700011539e+00,9.959907059472906665e-01
1.872349676479023628e+03,9.526438631889904141e-01,9.994971418161945342e-01,1.000063378350628751e+00,9.960758920252243964e-01
1.872370550259750871e+03,9.509649119345948698e-01,9.986913411294934262e-01,9.989299396267400377e-01,9.961939580956903351e-01
1.872391363004593359e+03,9.515317326336941717e-01,9.986882239018111118e-01,9.991463468226416955e-01,9.956973826020467655e-01
1.872412175747629362e+03,9.516974685838015535e-01,9.989031336849020226e-01,9.991293029592883679e-01,9.956596162342070677e-01
1.872433049524799117e+03,9.515099163606764998e-01,9.996836074421081575e-01,9.996188274590098732e-01,9.956783810855256434e-01
1.872453862265029784e+03,9.522042839151018123e-01,9.991365863821511928e-01,9.992634650795420015e-01,9.950120564924914701e-01
1.872474675002934418e+03,9.517092934918942593e-01,9.984713901476101050e-01,9.989421838031826706e-01,9.956876857268813774e-01
1.872495548774526014e+03,9.531761445654889364e-01,9.989723185887837698e-01,9.992271002105097555e-01,9.958344543857139408e-01
1.872516361508885666e+03,9.514212482198495247e-01,9.985734907490985135e-01,9.989634070718214076e-01,9.955259116144810072e-01
1.872537174241178036e+03,9.529142686678442331e-01,9.984817196226388747e-01,9.990631711504867063e-01,9.955473140056357861e-01
1.872558048006106219e+03,9.531286407156717155e-01,9.994702361483225328e-01,9.998860821250359354e-01,9.958285202902347200e-01
1.872578860734316549e+03,9.527048127835208158e-01,9.998157543097987432e-01,1.000285503657683650e+00,9.959848115975682425e-01
1.872599673461062821e+03,9.519251699139422707e-01,9.980244421431911928e-01,9.993330927549372023e-01,9.960849098829839265e-01
1.872683046420015444e+03,9.529198772714850829e-01,9.988357588721838987e-01,9.993367569668594186e-01,9.954474660941629027e-01
1.872703859139542374e+03,9.522929507865195431e-01,9.989688615916805237e-01,9.996300903796633275e-01,9.958430498358065153e-01
1.872724671857847625e+03,9.520510846117822279e-01,9.980826790077030886e-01,9.985327532206099699e-01,9.951575031959188911e-01
1.872745545610775025e+03,9.526781415467305836e-01,9.996621685954597547e-01,9.998720223843420296e-01,9.953195985589090578e-01
1.872787171046597905e+03,9.526796697203157027e-01,9.993290688370448649e-01,9.997772443363509565e-01,9.954292049362140071e-01
1.872808044800284733e+03,9.519695461014187066e-01,9.993587862075360428e-01,9.999393770084243904e-01,9.957216478484433031e-01
1.872870543995924663e+03,9.517014278024020779e-01,9.992891370066809831e-01,9.996384871444394804e-01,9.951650464888535108e-01
1.872891356718901079e+03,9.516264900506548052e-01,9.996640795197213603e-01,9.997414441644394412e-01,9.946136215117529211e-01
1.872912169443595303e+03,9.523708972883486723e-01,9.987576580710471053e-01,9.988816356844415489e-01,9.953659807541844762e-01
1.872933043205315698e+03,9.523698420373474249e-01,9.994369029632612644e-01,9.996731408541434938e-01,9.955167651147628360e-01
1.872953855934025569e+03,9.527109008747277619e-01,9.993725286782260131e-01,9.993487774303888571e-01,9.951888236647971064e-01
1.872974668664966657e+03,9.524516493386033789e-01,9.994709472599744293e-01,9.995223999983468000e-01,9.954126689915855364e-01
1.873016355169042527e+03,9.523317137528158893e-01,9.987910307820762057e-01,9.989171655791926341e-01,9.944552217094252411e-01
1.873037167907620642e+03,9.522203600970309267e-01,9.991088675787729301e-01,9.994654148270765148e-01,9.952460440106778439e-01
1.873058041683284500e+03,9.541193931162799124e-01,9.998977116057333747e-01,1.000051350986453480e+00,9.959203647530956438e-01
1.873078854426193175e+03,9.525709200108930519e-01,9.987552174152410922e-01,9.992031949644928357e-01,9.945391155955589646e-01
1.873120540954352464e+03,9.530553762820028751e-01,9.996857788572417469e-01,1.000153564864459943e+00,9.950201224995371962e-01
1.873162166455369743e+03,9.527422743757482104e-01,9.993575594472082768e-01,9.996691628884039060e-01,9.948981264799774404e-01
1.873183040243771984e+03,9.531255901993810342e-01,9.989508901135133456e-01,9.994968062007282272e-01,9.949874207526402392e-01
1.873203852998388356e+03,9.524298311771020042e-01,9.983828134453450742e-01,9.988323519008048823e-01,9.946033003774347181e-01
1.873224665754105445e+03,9.526492960862568138e-01,9.990385750727328595e-01,9.993127884616023193e-01,9.944585641925289821e-01
1.873245539545330985e+03,9.526817025513806270e-01,9.984489065385290241e-01,9.990377914410076832e-01,9.950778399831774479e-01
1.873266352302408450e+03,9.532532691211382803e-01,9.981659215373812621e-01,9.984158402778874342e-01,9.949024923219939032e-01
1.873287165059728750e+03,9.536807497902813902e-01,9.999811581545876571e-01,1.000080572120153999e+00,9.954785668595672599e-01
1.873308038852139362e+03,9.512780586407141303e-01,9.980158045654938803e-01,9.986717705363773456e-01,9.947142341022766621e-01
1.873349664365359104e+03,9.531380766955734885e-01,9.981209490754987534e-01,9.984894063069945647e-01,9.946816086061324169e-01
1.873370538155891381e+03,9.527650541443410948e-01,9.987356475373951881e-01,9.991326958343462739e-01,9.954007606714712075e-01
1.873391350910148503e+03,9.525619687120527868e-01,9.987867946013593290e-01,9.991071875030674843e-01,9.949553542713336363e-01
1.873433037449928179e+03,9.525292228589445909e-01,9.975364363561670666e-01,9.980117608496682502e-01,9.948646602887746271e-01
1.873453850199500948e+03,9.527631905937939960e-01,9.983493943007061278e-01,9.987755983870335585e-01,9.949852272967529832e-01
1.873474662947663546e+03,9.544653613436498985e-01,9.990265713644602696e-01,9.995764129805617682e-01,9.944713813719451290e-01
1.873495536728464231e+03,9.532467559284099057e-01,9.991289005535142209e-01,9.995751557421733713e-01,9.951405172782341602e-01
1.873516349472133243e+03,9.532874128930439728e-01,9.984263450181806165e-01,9.999342555991700410e-01,9.950413472390025049e-01
1.873537162214199952e+03,9.535159857146942031e-01,9.987846650914264934e-01,9.992107542776791362e-01,9.953324792244100383e-01
1.873558035989266045e+03,9.534627706333449471e-01,9.983804104393669832e-01,9.983920217220311200e-01,9.944975077237255823e-01
1.873578848726798242e+03,9.543487737623462808e-01,9.990570974456920439e-01,9.991343394350202800e-01,9.948699179987536834e-01
1.873599661462880476e+03,9.531557017405942744e-01,9.988672222580348148e-01,9.991583636331698992e-01,9.948829039743135594e-01
1.873620535232201519e+03,9.550279224857955995e-01,9.987394265173630270e-01,9.994229905901418354e-01,9.949410144020299773e-01
1.873641347964386568e+03,9.538224000951116555e-01,9.992631868952962515e-01,9.996636016502395972e-01,9.947486473116337047e-01
1.873662160695594594e+03,9.543788549613522187e-01,9.988114680736491779e-01,9.991945388289094065e-01,9.948967421334053984e-01
1.873683034460588260e+03,9.535509491580131947e-01,9.985210823486105891e-01,9.991997487856013604e-01,9.955013455458772142e-01
1.873703847189583030e+03,9.548950052914219055e-01,9.993951462236052574e-01,9.998895638477066639e-01,9.954142815215162310e-01
1.873724659917857252e+03,9.541681465150479990e-01,9.987517756552399817e-01,9.991257878002306470e-01,9.946546072813493566e-01
1.873766346408358231e+03,9.543603751522968803e-01,9.993251539186405186e-01,9.998569878905466668e-01,9.953434035203235775e-01
1.873787159136170885e+03,9.538654347166318770e-01,9.983302287507686001e-01,9.989355546520538587e-01,9.949779921014751949e-01
1.873808032899409227e+03,9.547651713232927495e-01,9.992774769657981615e-01,9.997701263895107937e-01,9.949607943712939218e-01
1.873828845628380577e+03,9.542453240591457497e-01,9.985345176341310358e-01,9.992023748214515777e-01,9.949907801063248014e-01
1.873849658358358056e+03,9.549156508206863014e-01,9.991583384808822021e-01,1.000000359968328922e+00,9.947286577070260094e-01
1.873870532125067484e+03,9.540482072838778471e-01,9.985456952737867820e-01,9.991741335260566625e-01,9.953608891970859851e-01
1.873891344857841204e+03,9.548202483827599174e-01,9.988092483228524499e-01,9.993890193164496338e-01,9.959606538559180322e-01
1.873912157592361382e+03,9.553625572586633696e-01,9.992167902875674912e-01,1.000005314887261632e+00,9.955132380792824920e-01
1.873933031364293129e+03,9.538905623225616415e-01,9.979041158493380248e-01,9.986391096635355291e-01,9.951094463525003153e-01
1.873953844102873973e+03,9.552944727902988875e-01,9.986685662611251013e-01,9.991349541748365537e-01,9.953408259963413274e-01
1.873974656844167839e+03,9.548996546977723821e-01,9.991567195638393351e-01,9.996160963066003102e-01,9.953200481808585076e-01
1.873995530622355545e+03,9.543209875567600919e-01,9.988552492869917643e-01,9.992916959702912161e-01,9.958556744919661030e-01
1.874016343368408343e+03,9.551318694658059716e-01,9.984215500179572933e-01,9.989335670383793220e-01,9.964887480533833886e-01
1.874037156116427013e+03,9.548878245647687280e-01,9.983357405578179300e-01,9.985357700252791568e-01,9.956200428930975788e-01
1.874058029902354519e+03,9.551609576796225021e-01,9.978359816416679795e-01,9.985085876431463170e-01,9.955022510981189621e-01
1.874078842655623021e+03,9.546075244918658109e-01,9.985643528961513082e-01,9.988383879301360180e-01,9.951643029143814045e-01
1.874099655410697778e+03,9.554771089031377507e-01,9.977954832047082334e-01,9.983239918518245215e-01,9.956237770400987452e-01
1.874120529203420574e+03,9.557182791682040657e-01,9.995477286652746374e-01,1.000376794316940376e+00,9.956692880688577940e-01
1.874141341963093282e+03,9.554046936425120151e-01,9.990282387762501326e-01,9.993425099191823868e-01,9.962236846642823496e-01
1.874162154724558150e+03,9.556902998726134468e-01,9.989130334032243486e-01,9.994411957799728130e-01,9.955881861194055826e-01
1.874183028522639916e+03,9.556207336017717990e-01,9.988259628194195994e-01,9.991974993971411978e-01,9.958973507065701503e-01
1.874203841287008345e+03,9.551954997117767521e-01,9.988442734687945634e-01,9.993774051431952854e-01,9.953289300623391345e-01
1.874224654052442929e+03,9.557323246611082457e-01,9.991064989802045382e-01,9.995569566009523399e-01,9.963826108727417141e-01
1.874245527853709746e+03,9.565600285538530256e-01,9.995149593154735168e-01,9.998445535600226641e-01,9.963956716495296906e-01
1.874266340620430583e+03,9.556083138726128023e-01,9.994322462223466097e-01,1.000034251796814821e+00,9.957253857271486375e-01
1.874287214422395891e+03,9.564635903017110197e-01,9.991807547353802610e-01,9.995782796361071254e-01,9.965519516955905210e-01
1.874308027189228596e+03,9.557795125004951986e-01,9.981386083036306589e-01,9.989180684273738509e-01,9.958226941229106899e-01
1.874328900990713464e+03,9.568387618985908505e-01,1.000002034740069323e+00,1.000062816161922497e+00,9.958674719941834619e-01
1.874349713756501615e+03,9.563811309768055491e-01,9.984549134590494646e-01,9.990043542122144515e-01,9.960526785009217177e-01
1.874370526521828879e+03,9.568469445379081950e-01,9.993331162498459985e-01,1.000058677161563381e+00,9.965559110817815425e-01
1.874391400320532512e+03,9.571575815207601368e-01,9.993262554838086009e-01,9.997725833252859573e-01,9.961391713424703198e-01
1.874412213082818653e+03,9.561473145051389011e-01,9.990718956698707576e-01,9.995222397390772784e-01,9.954278091758159697e-01
1.874433025843977703e+03,9.568021909816442072e-01,9.984354503532716363e-01,9.988845823487655373e-01,9.959078368130102055e-01
1.874453899637904669e+03,9.565683611282058685e-01,9.994564062266468873e-01,1.000023474914841337e+00,9.966229047604465707e-01
1.874474712395406641e+03,9.573056912483834946e-01,9.994732870761936505e-01,1.000138825974459467e+00,9.965340124830972535e-01
1.874495525150455478e+03,9.568620269065916117e-01,9.992951305130903794e-01,9.997789388919947617e-01,9.963978484873032837e-01
1.874516398938889097e+03,9.575246796814594896e-01,9.987291493638981166e-01,9.993801838457924136e-01,9.967693968949576933e-01
1.874537211689814512e+03,9.557696952865384343e-01,9.995870100029906613e-01,1.000181127084603272e+00,9.967441503536835778e-01
1.874578898220975816e+03,9.573402849844430129e-01,9.986985821257595708e-01,9.991364246338103605e-01,9.971213330973767164e-01
1.874599710966413568e+03,9.575886354452439742e-01,9.996734562589880690e-01,1.000281114510448877e+00,9.967789515422226243e-01
1.874620523710079624e+03,9.570468373347897906e-01,9.990020117409029732e-01,9.996582206291895201e-01,9.960916832963919720e-01
1.874641397487054292e+03,9.576928452980366657e-01,9.993907124948152587e-01,9.998209183689266144e-01,9.970077820765275156e-01
1.874662210227224932e+03,9.572540276036038964e-01,9.987789852566146820e-01,9.992514615058197824e-01,9.964789345061894066e-01
1.874683022966667977e+03,9.567471826164640758e-01,9.988901918140004055e-01,9.993523925101661654e-01,9.967850750299371843e-01
1.874703896740061964e+03,9.574805038948831504e-01,9.993619337852557294e-01,9.997833634678843229e-01,9.971808319329783510e-01
1.874724709477867918e+03,9.577885340555168936e-01,9.999628314392351447e-01,1.000485498574378296e+00,9.975888156878339741e-01
1.874745522215269375e+03,9.575828601369692494e-01,9.997096729102845636e-01,1.000395068156034517e+00,9.968455431501362929e-01
1.874766395987444412e+03,9.574187900755964931e-01,9.996065211933498063e-01,1.000040241157086118e+00,9.964816903484494670e-01
1.874787208724908169e+03,9.571787094449892841e-01,9.984334224308684114e-01,9.987395859063159520e-01,9.970715902196563007e-01
1.874808021462845772e+03,9.576248864385826787e-01,9.993258230079554716e-01,9.997941474725502431e-01,9.975406122249256269e-01
1.874828895236433254e+03,9.586556770058680677e-01,1.000199404452210450e+00,1.000434423824685171e+00,9.972803927189656248e-01
1.874849707976178024e+03,9.575242592129558084e-01,9.998014081600522518e-01,9.998162130528160940e-01,9.969649311427358773e-01
1.874870520717231329e+03,9.582149522886074244e-01,9.992331691130823534e-01,9.995976561164133800e-01,9.965934864158796369e-01
