# PSF X-COM, PSF Y-COM, PSF X-WIDTH, PSF Y-WIDTH, PSF ROT, PSF BKG
1.000032747677096490e+00,1.013839371016591828e+00,1.037456546851478034e+00,1.051077156232084198e+00,9.568659435749193864e-01,1.510384144276116780e+00
1.000050334068462332e+00,1.013842986535116619e+00,1.042084138827373385e+00,1.053497846142034344e+00,9.431278837010605987e-01,1.470926512919814799e+00
1.000805898639478997e+00,1.013365504286530605e+00,1.047951713885252323e+00,1.049723403451612525e+00,8.157031438618603802e-01,1.285900974883014136e+00
1.000955959078245971e+00,1.013381652301021285e+00,1.044094839169915412e+00,1.044956151396818855e+00,8.788719114889937956e-01,1.277821733364629120e+00
1.001528279789057008e+00,1.013508508205257508e+00,1.022694745537498395e+00,1.026865228321988122e+00,9.397463818724631768e-01,1.230681365409201478e+00
1.001668041972222589e+00,1.013777658332628562e+00,1.017196738962375946e+00,1.023427829679504519e+00,9.788571919458085580e-01,1.221475876493976598e+00
1.002066875182677119e+00,1.013357475661634588e+00,1.014481569909007730e+00,1.018124729197880551e+00,8.871718156441977809e-01,1.169608748277068733e+00
1.002123105215161347e+00,1.013451256118417909e+00,1.013687125790661003e+00,1.019038302126381357e+00,9.162267577293868870e-01,1.167816932801228225e+00
1.002208644428838502e+00,1.013307234831969827e+00,1.013931486834881879e+00,1.018036857270693707e+00,9.540293870592245762e-01,1.162970230670455241e+00
1.002280175375265259e+00,1.013181620100203739e+00,1.012806022513689452e+00,1.019440402437083337e+00,8.755521594153642395e-01,1.157532043168755242e+00
1.002517968294318385e+00,1.013194246435877632e+00,1.002050647157259888e+00,1.014427503332068659e+00,7.871448859594584180e-01,1.120248819430651910e+00
1.002644868762233354e+00,1.012984393101021396e+00,1.013244411451920346e+00,1.017486618089378458e+00,9.228550612894216298e-01,1.100214685149103477e+00
1.002603579093969799e+00,1.012956736971494021e+00,1.013033950408250172e+00,1.017753485296304605e+00,9.029744235975583067e-01,1.094612499006625050e+00
1.002571413069829553e+00,1.013121721222882687e+00,1.012838751655815495e+00,1.014522568386134971e+00,8.140518161861789448e-01,1.092013404018145950e+00
1.002624542459777945e+00,1.013160065508081242e+00,1.015369434946434612e+00,1.019378869989137293e+00,8.670358944404400470e-01,1.087008110126005622e+00
1.002783320535034939e+00,1.012885344072606664e+00,1.013005120678575288e+00,1.014812552906557030e+00,9.245897416100085087e-01,1.082958337570619545e+00
1.002728038207433503e+00,1.012782174383513700e+00,1.010462252944545281e+00,1.014205649924757591e+00,8.337515517525797559e-01,1.077248788942406055e+00
1.002764984262598524e+00,1.012824151463240341e+00,1.014112664310401257e+00,1.016867079475934910e+00,8.700182139115658631e-01,1.071392759313390730e+00
1.002746116301649559e+00,1.013011263041917909e+00,1.013838569215419261e+00,1.018566333148272385e+00,9.184219627899540273e-01,1.067735061997552748e+00
1.002789996824510865e+00,1.013003638288504593e+00,1.016111762971231069e+00,1.019079361275934570e+00,9.582890530111004557e-01,1.058875956362589577e+00
1.002880265353838007e+00,1.012717379814066510e+00,1.013465821829527158e+00,1.017722713992814221e+00,9.215570917156874486e-01,1.056411438227957911e+00
1.002857951946553028e+00,1.012757691829353046e+00,1.014467242182134799e+00,1.019313708327380885e+00,9.350427215434228279e-01,1.054322795829262249e+00
1.002880727753268086e+00,1.012753412102830763e+00,1.014761968561266992e+00,1.015285665524414238e+00,9.236337102700169499e-01,1.051261640794000973e+00
1.002825905293032616e+00,1.012943885095750618e+00,1.012330859504560809e+00,1.014082527990450178e+00,8.630489613749419142e-01,1.049545731864809595e+00
1.002961043129580121e+00,1.012507101254011221e+00,1.012272902471820890e+00,1.016761589597780402e+00,9.075285372703896236e-01,1.048741752398557825e+00
1.002957698557789934e+00,1.012558526560576766e+00,1.015096003712834039e+00,1.021368173894808606e+00,9.544436195321949201e-01,1.046495212835830468e+00
1.003021943265714588e+00,1.012252799847888296e+00,1.013611306230772557e+00,1.017531128012832298e+00,9.351399209051308725e-01,1.042723748684649232e+00
1.002935118633684120e+00,1.012593532242801908e+00,1.012691805574254866e+00,1.018750948342266760e+00,8.648667817436201943e-01,1.039915556820683706e+00
1.003034146495177525e+00,1.012384261307964772e+00,1.014144781163533571e+00,1.018427339898915207e+00,8.928156927631576423e-01,1.038065364670110569e+00
1.003027099779005171e+00,1.012713376339573923e+00,1.017913493665788316e+00,1.015702268999692182e+00,9.051187542431599065e-01,1.035565792067512536e+00
1.003020693249107254e+00,1.012454428734697043e+00,1.011482715691257583e+00,1.016897582813666157e+00,9.403969082189888029e-01,1.033925951641040619e+00
1.003029581464496722e+00,1.012428707852060183e+00,1.012674243621267900e+00,1.017120265092821940e+00,9.416434880009639796e-01,1.033400941359367220e+00
1.003160457365064540e+00,1.012388567053336796e+00,1.013055012512870334e+00,1.014776360784366949e+00,9.173927435199954461e-01,1.032590445296343695e+00
1.003072081475736343e+00,1.012465799567858538e+00,1.009640806550650360e+00,1.015921041328969876e+00,8.819801742612339845e-01,1.031792881959420649e+00
1.003041539984859121e+00,1.012491724214355626e+00,1.009733290333166167e+00,1.014274723621144236e+00,8.941298467778442394e-01,1.030483830447955995e+00
1.003131668823014300e+00,1.012505243274299582e+00,1.011421101609165651e+00,1.014308539184525237e+00,9.025215589863972987e-01,1.028702690163158850e+00
1.003126035053453213e+00,1.012230872013465177e+00,1.012748032187509972e+00,1.017351743508756678e+00,9.115305853097784849e-01,1.027367171191736928e+00
1.003135397949716845e+00,1.012353969219333960e+00,1.012140258618153599e+00,1.019197744428074648e+00,8.908333668632020252e-01,1.028473982660393471e+00
1.003082237030177293e+00,1.012609661398301997e+00,1.008853225506016971e+00,1.012585189510716077e+00,8.080013453288501513e-01,1.027660255173131532e+00
1.003116708219721875e+00,1.012215132889675129e+00,1.009665808958988942e+00,1.015298279401323889e+00,8.571179509561003274e-01,1.025719370303507905e+00
1.003120049984422835e+00,1.012394837151745719e+00,1.011216154327409189e+00,1.016397534392057267e+00,9.688317853270501656e-01,1.025866140523800318e+00
1.003191026965019050e+00,1.012090285857252026e+00,1.011565236136816370e+00,1.020456011215729708e+00,9.513231935971175890e-01,1.024386190382860384e+00
1.003248070108260892e+00,1.012224539025395442e+00,1.005736058582388903e+00,1.018005509241114659e+00,9.488688329127552556e-01,1.025286546877933969e+00
1.003252442119004328e+00,1.011889893438363330e+00,1.008694779055613333e+00,1.020473894615534061e+00,9.316791738474046181e-01,1.025925014761031484e+00
1.003230088479199589e+00,1.011959005162794023e+00,1.010967904982444487e+00,1.018108143338386729e+00,9.088381963136651365e-01,1.024663979034550865e+00
1.003258138698969182e+00,1.011960008165533553e+00,1.008563020092767548e+00,1.018276825445930012e+00,8.766652460696838789e-01,1.023585897091140007e+00
1.003245002223109417e+00,1.011842922953857693e+00,1.008305571809139600e+00,1.015997591014409007e+00,8.759930023935935672e-01,1.022838841736547266e+00
1.003250016369123143e+00,1.012234258525996466e+00,1.004584555493904796e+00,1.017837346610012794e+00,8.596683509989200278e-01,1.023827539601023906e+00
1.003253014795532971e+00,1.011913125523406398e+00,1.011184566606532664e+00,1.019427998450756601e+00,1.056714002211560643e+00,1.024017258777625505e+00
1.003255608753441885e+00,1.012049032940797844e+00,1.011195496185532061e+00,1.017947896637741767e+00,9.209190230100078312e-01,1.024378262795727634e+00
1.003249485625416604e+00,1.011952450042124196e+00,1.009244556076158261e+00,1.017922565091086140e+00,9.800251660655784347e-01,1.023418110429616501e+00
1.003289564869575878e+00,1.011900118604386556e+00,1.009369919902446178e+00,1.018232338728678243e+00,9.956408352519080518e-01,1.022158776545754710e+00
1.003256316566610407e+00,1.011917844369447428e+00,1.008853015334023606e+00,1.015707627517623557e+00,8.593540478429630980e-01,1.022495577589038751e+00
