# Time, Raw Flux, Corr Flux, PCA Flux, PSF Flux
1.438016270079431706e+03,1.033608965359418930e+00,9.925969156379317315e-01,1.009649782492388237e+00,9.826698154247119898e-01
1.438037144112863643e+03,1.033766895609400160e+00,9.929484773073291581e-01,1.009178318370136607e+00,9.837826357460435212e-01
1.438057957112608392e+03,1.033482103688742937e+00,9.939439566097378886e-01,1.008679971788893015e+00,9.839901982820629112e-01
1.438078770114728513e+03,1.033344100553642120e+00,9.942266660122841548e-01,1.008421606534198656e+00,9.842155191076913390e-01
1.438099644155728583e+03,1.033702715979956555e+00,9.949805100689615989e-01,1.007978288981355774e+00,9.845970831808948942e-01
1.438120457163270430e+03,1.034055037913845343e+00,9.957574165708014124e-01,1.008385973982713457e+00,9.842426741186465211e-01
1.438141270172837949e+03,1.033728182295217346e+00,9.944848770157357354e-01,1.007151842110106221e+00,9.850021816761829196e-01
1.438162144221289964e+03,1.034929275566500939e+00,9.962577821493988628e-01,1.008284613769606652e+00,9.858705621936112440e-01
1.438182957235679851e+03,1.033974818605852164e+00,9.959826326626135540e-01,1.006715353111551359e+00,9.852439017277533351e-01
1.438203770251865080e+03,1.033042254015817507e+00,9.968883777948318592e-01,1.005921225491691384e+00,9.857150986954766880e-01
1.438224644306152186e+03,1.034373677086115162e+00,9.983344094807138358e-01,1.007587687386202413e+00,9.859315715290399851e-01
1.438245457325964480e+03,1.033890474666085968e+00,9.977893001064350731e-01,1.006279242894461134e+00,9.858543317092894886e-01
1.438266270346637384e+03,1.034320004705576057e+00,9.988511641537203278e-01,1.006730333563237600e+00,9.866450648669622403e-01
1.438287144404426044e+03,1.034234184541959589e+00,9.980343033762869576e-01,1.005787221952127997e+00,9.861025474649091072e-01
1.438307957426722851e+03,1.033831651455890732e+00,9.994559202503890960e-01,1.005802066246408888e+00,9.859633198241344321e-01
1.438328770449314788e+03,1.034351887923490310e+00,9.985944885779463043e-01,1.005701755384540652e+00,9.867374584844730290e-01
1.438349644507983157e+03,1.034039132237955183e+00,9.992362458302905814e-01,1.005119323544690024e+00,9.869747233435111067e-01
1.438370457530625799e+03,1.033326791325770433e+00,9.986911017063893059e-01,1.003991293286912168e+00,9.872756183356087289e-01
1.438391270552128390e+03,1.033661058949746581e+00,9.998029465432100027e-01,1.004189897205551851e+00,9.872721655377958427e-01
1.438412144609238794e+03,1.031832950961888873e+00,9.984909725072850240e-01,1.001733471567016975e+00,9.870798980682861101e-01
1.438432957629029715e+03,1.033330732678632735e+00,9.994521576838288901e-01,1.003365979960037402e+00,9.878710234621386199e-01
1.438453770647852025e+03,1.034294785951913154e+00,1.000798549555491190e+00,1.004043655847846050e+00,9.872352500910065443e-01
1.438474644701128454e+03,1.032628192864066374e+00,9.994581354981001420e-01,1.002424542095966764e+00,9.874899990039514019e-01
1.438495457717022873e+03,1.030588177588527499e+00,9.973161667430128219e-01,1.000429393035155545e+00,9.883015476541534561e-01
1.438516270731048962e+03,1.032168772872257945e+00,9.989633437497252855e-01,1.001402525418336742e+00,9.873255176006232592e-01
1.438537144779192431e+03,1.031975633321018160e+00,9.993585716638605509e-01,1.001386762033075417e+00,9.879005251329076032e-01
