time,flux
1.438266301788928786e+03,1.000087499618530273e+00
1.438287135563376978e+03,9.995643496513366699e-01
1.438307969336438418e+03,9.993320703506469727e-01
1.438328803108080592e+03,1.000168323516845703e+00
1.438349636878276215e+03,1.000022411346435547e+00
1.438370470646971398e+03,9.998461008071899414e-01
1.438391304414154092e+03,9.996648430824279785e-01
1.438412138179777685e+03,9.990698099136352539e-01
1.438432971943827852e+03,9.998960494995117188e-01
1.438453805706291405e+03,9.998775720596313477e-01
1.438474639467129464e+03,9.993856549263000488e-01
1.438516306983903178e+03,9.993510246276855469e-01
1.438537140739800179e+03,9.996155500411987305e-01
1.438557974494035761e+03,9.996252059936523438e-01
1.438578808246579911e+03,1.000068068504333496e+00
1.438599641997434219e+03,1.000176548957824707e+00
1.438682976983865956e+03,9.997231364250183105e-01
1.438703810726198981e+03,1.000271677970886230e+00
1.438724644466820791e+03,9.996510148048400879e-01
1.438787145678438264e+03,9.996434450149536133e-01
1.438807979412218629e+03,1.000350236892700195e+00
1.438828813144293235e+03,9.997852444648742676e-01
1.438995482939945077e+03,9.996685981750488281e-01
1.439016316656854997e+03,9.994369149208068848e-01
1.439037150372094402e+03,9.999427795410156250e-01
1.439057984085689441e+03,9.998377561569213867e-01
1.439078817797626243e+03,1.000012636184692383e+00
1.439099651507920498e+03,9.993192553520202637e-01
1.439120485216588577e+03,9.996404051780700684e-01
1.439141318923617746e+03,9.996827840805053711e-01
1.439162152629023467e+03,1.000100612640380859e+00
1.439182986332822566e+03,9.994264841079711914e-01
1.439203820035002309e+03,9.999509453773498535e-01
1.439224653735588390e+03,9.998030662536621094e-01
1.439245487434568076e+03,1.000197410583496094e+00
1.439266321131958193e+03,9.998301267623901367e-01
1.439287154827774884e+03,9.998875856399536133e-01
1.439307988522004962e+03,1.000026941299438477e+00
1.439349655905773716e+03,1.000343799591064453e+00
1.439370489595315121e+03,9.995062351226806641e-01
1.439391323283316979e+03,1.000441789627075195e+00
1.439412156969766102e+03,9.998285770416259766e-01
1.439453824338071399e+03,9.997891187667846680e-01
1.439474658019930985e+03,9.999225139617919922e-01
1.439495491700283765e+03,1.000015020370483398e+00
1.439516325379116324e+03,1.000294446945190430e+00
1.439537159056444807e+03,9.997125864028930664e-01
1.439557992732286039e+03,1.000078558921813965e+00
1.439578826406625922e+03,9.997364878654479980e-01
1.439599660079480600e+03,9.997397065162658691e-01
1.439620493750866899e+03,9.998340010643005371e-01
1.439641327420770267e+03,1.000295758247375488e+00
1.439662161089217079e+03,9.995479583740234375e-01
1.439682994756193239e+03,9.999137520790100098e-01
1.439703828421714661e+03,1.000198006629943848e+00
1.439724662085797718e+03,9.997943043708801270e-01
1.439745495748427402e+03,9.996003508567810059e-01
1.439766329409620084e+03,1.000219583511352539e+00
1.439787163069391227e+03,9.995574951171875000e-01
1.439807996727726504e+03,1.000007271766662598e+00
1.439828830384651837e+03,1.000017404556274414e+00
1.439849664040151993e+03,9.999904036521911621e-01
1.439870497694243113e+03,9.999822974205017090e-01
1.439891331346940433e+03,9.997915625572204590e-01
1.439912164998228945e+03,9.993153810501098633e-01
1.439932998648134117e+03,9.997519850730895996e-01
1.439953832296641167e+03,1.000011801719665527e+00
1.439974665943765785e+03,9.999526143074035645e-01
1.439995499589521842e+03,9.996532797813415527e-01
1.440016333233895011e+03,9.998040199279785156e-01
1.440037166876910533e+03,1.000196456909179688e+00
1.440058000518552944e+03,1.000105619430541992e+00
1.440078834158836798e+03,9.995118975639343262e-01
1.440099667797777556e+03,9.997476339340209961e-01
1.440120501435359529e+03,9.997528791427612305e-01
1.440141335071597041e+03,9.995669126510620117e-01
1.440162168706505327e+03,9.995689392089843750e-01
1.440183002340068697e+03,9.999310970306396484e-01
1.440203835972311481e+03,9.999031424522399902e-01
1.440224669603219809e+03,9.998097419738769531e-01
1.440245503232806186e+03,1.000479102134704590e+00
1.440266336861083346e+03,1.000512361526489258e+00
1.440287170488037646e+03,1.000292420387268066e+00
1.440308004113692959e+03,1.000253081321716309e+00
1.440328837738033144e+03,1.000153899192810059e+00
1.440349671361072978e+03,9.999070763587951660e-01
1.440370504982826105e+03,9.996009469032287598e-01
1.440391338603276154e+03,9.994777441024780273e-01
1.440412172222447907e+03,9.997501969337463379e-01
1.440433005840324540e+03,9.972544908523559570e-01
1.440453839456919923e+03,9.840260744094848633e-01
1.440474673072248379e+03,9.647707343101501465e-01
1.440495506686293538e+03,9.423390030860900879e-01
1.440516340299068361e+03,9.232703447341918945e-01
1.440537173910587398e+03,9.129840135574340820e-01
1.440558007520834053e+03,9.121567606925964355e-01
1.440578841129831062e+03,9.225828051567077637e-01
1.440599674737563191e+03,9.402893781661987305e-01
1.440620508344043401e+03,9.618330597877502441e-01
1.440641341949284424e+03,9.822349548339843750e-01
1.440662175553270799e+03,9.973504543304443359e-01
1.440683009156025264e+03,1.000405192375183105e+00
1.440703842757530538e+03,9.995811581611633301e-01
1.440724676357801400e+03,9.905325770378112793e-01
1.440745509956849901e+03,9.741594195365905762e-01
1.440766343554658988e+03,9.547169208526611328e-01
1.440787177151242986e+03,9.356865286827087402e-01
1.440808010746613945e+03,9.199032783508300781e-01
1.440828844340755040e+03,9.107621908187866211e-01
1.440849677933689918e+03,9.099252223968505859e-01
1.440870511525401071e+03,9.182211756706237793e-01
1.440891345115901458e+03,9.324419498443603516e-01
1.440912178705204269e+03,9.515823721885681152e-01
1.440933012293291995e+03,9.709270000457763672e-01
1.440953845880188055e+03,9.887277483940124512e-01
1.441287183109130638e+03,9.996504783630371094e-01
1.441308016675993713e+03,9.989903569221496582e-01
1.441328850241691271e+03,9.993767738342285156e-01
1.441412184492970027e+03,9.996487498283386230e-01
1.441433018052928219e+03,9.994240403175354004e-01
1.441474685169407621e+03,9.994795322418212891e-01
1.441495518725932016e+03,9.993149042129516602e-01
1.441537185835582932e+03,1.000000357627868652e+00
1.441558019388702178e+03,9.996920228004455566e-01
1.441578852940700926e+03,9.997038245201110840e-01
1.441599686491560988e+03,1.000539898872375488e+00
1.441620520041293048e+03,9.998816847801208496e-01
1.441641353589910523e+03,1.000058531761169434e+00
1.441662187137394767e+03,1.000181794166564941e+00
1.441683020683767154e+03,1.000290513038635254e+00
1.441703854229010176e+03,1.000132322311401367e+00
1.441724687773135884e+03,9.999669194221496582e-01
1.441745521316154736e+03,9.998496770858764648e-01
1.441766354858050136e+03,1.000209569931030273e+00
1.441787188398842773e+03,9.997044801712036133e-01
1.441808021938515139e+03,9.998471736907958984e-01
1.441828855477088609e+03,9.998366832733154297e-01
1.441849689014544538e+03,9.996958374977111816e-01
1.441870522550895430e+03,1.000021338462829590e+00
1.441891356086152427e+03,9.996011257171630859e-01
1.441912189620296886e+03,9.996531605720520020e-01
1.441933023153351314e+03,9.998379945755004883e-01
1.441953856685296614e+03,9.998519420623779297e-01
1.441974690216144609e+03,9.998275041580200195e-01
1.441995523745907121e+03,9.998075962066650391e-01
1.442016357274565280e+03,9.998272061347961426e-01
1.442037190802140913e+03,1.000167369842529297e+00
1.442058024328615375e+03,9.995199441909790039e-01
1.442078857854000489e+03,1.000053286552429199e+00
1.442099691378307398e+03,9.998444318771362305e-01
1.442120524901517911e+03,1.000096678733825684e+00
1.442141358423643396e+03,1.000446319580078125e+00
1.442162191944694996e+03,9.994871020317077637e-01
1.442183025464654520e+03,1.000358581542968750e+00
1.442203858983542887e+03,1.000399947166442871e+00
1.442224692501342133e+03,1.000317811965942383e+00
1.442245526018073633e+03,9.996168613433837891e-01
1.442266359533718287e+03,1.000048995018005371e+00
1.442287193048287691e+03,1.000520348548889160e+00
1.442308026561793440e+03,9.997215270996093750e-01
1.442328860074216209e+03,9.999476671218872070e-01
1.442349693585578052e+03,1.000267505645751953e+00
1.442370527095859643e+03,1.000300645828247070e+00
1.442391360605072578e+03,9.999111890792846680e-01
1.442412194113228452e+03,9.999955296516418457e-01
1.442433027620307939e+03,9.998708367347717285e-01
1.442453861126332413e+03,1.000005960464477539e+00
1.442474694631283455e+03,9.998072385787963867e-01
1.442495528135182212e+03,9.997518658638000488e-01
1.442516361638009357e+03,9.998701810836791992e-01
1.442537195139776713e+03,1.000042200088500977e+00
1.442558028640495195e+03,9.998827576637268066e-01
1.442578862140145702e+03,1.000002861022949219e+00
1.442599695638750063e+03,9.998602867126464844e-01
1.442620529136289178e+03,1.000204443931579590e+00
1.442641362632773507e+03,9.999626278877258301e-01
1.442662196128214873e+03,1.000341892242431641e+00
1.442683029622594859e+03,1.000105500221252441e+00
1.442703863115923241e+03,1.000594258308410645e+00
1.442724696608211843e+03,9.999989867210388184e-01
1.442745530099442249e+03,9.997845888137817383e-01
1.442766363589634466e+03,1.000134587287902832e+00
1.442787197078770077e+03,1.000017285346984863e+00
1.442808030566870457e+03,1.000017404556274414e+00
1.442828864053916277e+03,1.000468134880065918e+00
1.442849697539918225e+03,9.996677637100219727e-01
1.442870531024887669e+03,1.000089764595031738e+00
1.442891364508806191e+03,9.999909400939941406e-01
1.442912197991693802e+03,1.000252842903137207e+00
1.442933031473531400e+03,1.000156402587890625e+00
1.442953864954331266e+03,9.999322295188903809e-01
1.442974698434103175e+03,9.998510479927062988e-01
1.442995531912828028e+03,1.000531911849975586e+00
1.443016365390527653e+03,1.000286340713500977e+00
1.443037198867182724e+03,1.000271201133728027e+00
1.443058032342803244e+03,1.000342130661010742e+00
1.443078865817401265e+03,1.000248908996582031e+00
1.443099699290967237e+03,1.000052213668823242e+00
1.443120532763492065e+03,9.999023675918579102e-01
1.443141366234986208e+03,1.000371456146240234e+00
1.443162199705461262e+03,9.998652338981628418e-01
1.443183033174897673e+03,1.000129461288452148e+00
1.443203866643306583e+03,1.000585913658142090e+00
1.443224700110698677e+03,1.000512003898620605e+00
1.443245533577054402e+03,1.000210404396057129e+00
1.443266367042395359e+03,1.000197529792785645e+00
1.443287200506701993e+03,1.000277876853942871e+00
1.443308033969994995e+03,1.000239014625549316e+00
1.443328867432255265e+03,1.000194430351257324e+00
1.443349700893493718e+03,9.998871684074401855e-01
1.443370534353721041e+03,1.000053405761718750e+00
1.443391367812917679e+03,1.000187873840332031e+00
1.443412201271105005e+03,1.000046372413635254e+00
1.443433034728263692e+03,1.000433206558227539e+00
1.443453868184403973e+03,1.000249385833740234e+00
1.443474701639537216e+03,1.000246763229370117e+00
1.443495535093643639e+03,9.998230934143066406e-01
1.443516368546744161e+03,1.000100731849670410e+00
1.443537201998819910e+03,1.000281214714050293e+00
1.443558035449890895e+03,1.000325798988342285e+00
1.443578868899938698e+03,1.000367164611816406e+00
1.443599702348973096e+03,9.999797344207763672e-01
1.443620535797005687e+03,9.999412298202514648e-01
1.443641369244016460e+03,9.996374249458312988e-01
1.443662202690026561e+03,1.000300645828247070e+00
1.443683036135016209e+03,1.000281333923339844e+00
1.443703869578996319e+03,1.000038146972656250e+00
1.443724703021977803e+03,1.000016093254089355e+00
1.443745536463940653e+03,9.999936819076538086e-01
1.443766369904906242e+03,1.000243425369262695e+00
1.443787203344854788e+03,1.000017285346984863e+00
1.443808036783806983e+03,1.000218510627746582e+00
1.443828870221743728e+03,9.999308586120605469e-01
1.443849703658675253e+03,1.000411629676818848e+00
1.443870537094612246e+03,9.998199343681335449e-01
1.443891370529535834e+03,1.000315308570861816e+00
1.443912203963466027e+03,1.000087261199951172e+00
1.443933037396383270e+03,9.998948574066162109e-01
1.443953870828298932e+03,1.000244617462158203e+00
1.443974704259222563e+03,9.997488260269165039e-01
1.444099704823729098e+03,9.995912313461303711e-01
1.444141371670582430e+03,9.998804330825805664e-01
1.444162205092519116e+03,1.000136852264404297e+00
1.444183038513449446e+03,9.997237920761108398e-01
1.444203871933394794e+03,1.000403404235839844e+00
1.444224705352335604e+03,9.998959898948669434e-01
1.444245538770281200e+03,1.000362157821655273e+00
1.444266372187243633e+03,9.997048974037170410e-01
1.444287205603202892e+03,1.000020742416381836e+00
1.444308039018178761e+03,1.000590085983276367e+00
1.444328872432152593e+03,9.996561408042907715e-01
1.444349705845144626e+03,9.998633265495300293e-01
1.444370539257135079e+03,1.000179290771484375e+00
1.444391372668134863e+03,9.997707009315490723e-01
1.444412206078154213e+03,1.000535249710083008e+00
1.444433039487173346e+03,1.000374197959899902e+00
1.444453872895213181e+03,9.997411370277404785e-01
1.444474706302253708e+03,1.000071406364440918e+00
1.444495539708306069e+03,1.000069022178649902e+00
1.444516373113380041e+03,1.000487327575683594e+00
1.444537206517456298e+03,9.999482631683349609e-01
1.444558039920555530e+03,1.000075459480285645e+00
1.444578873322657955e+03,1.000374674797058105e+00
1.444599706723783811e+03,1.000130176544189453e+00
1.444620540123913543e+03,1.000222325325012207e+00
1.444641373523067841e+03,9.996965527534484863e-01
1.444662206921227380e+03,9.997508525848388672e-01
1.444683040318401709e+03,9.999439716339111328e-01
1.444703873714601741e+03,9.996094107627868652e-01
1.444724707109853625e+03,1.000137567520141602e+00
1.444745540504127121e+03,1.000186324119567871e+00
1.444766373897367430e+03,1.000204205513000488e+00
1.444787207289635035e+03,1.000584721565246582e+00
1.444808040680910608e+03,1.000409960746765137e+00
1.444828874071204154e+03,9.999017119407653809e-01
1.444849707460525906e+03,1.000342249870300293e+00
1.444870540848856535e+03,9.998855590820312500e-01
1.444891374236216507e+03,9.998052716255187988e-01
1.444912207622585811e+03,9.998750686645507812e-01
1.444933041007985139e+03,1.000225067138671875e+00
