time,flux
1.438266301788928786e+03,-8.999912500381469727e+00
1.438287135563376978e+03,-9.000435650348663330e+00
1.438307969336438418e+03,-9.000667929649353027e+00
1.438328803108080592e+03,-8.999831676483154297e+00
1.438349636878276215e+03,-8.999977588653564453e+00
1.438370470646971398e+03,-9.000153899192810059e+00
1.438391304414154092e+03,-9.000335156917572021e+00
1.438412138179777685e+03,-9.000930190086364746e+00
1.438432971943827852e+03,-9.000103950500488281e+00
1.438453805706291405e+03,-9.000122427940368652e+00
1.438474639467129464e+03,-9.000614345073699951e+00
1.438516306983903178e+03,-9.000648975372314453e+00
1.438537140739800179e+03,-9.000384449958801270e+00
1.438557974494035761e+03,-9.000374794006347656e+00
1.438578808246579911e+03,-8.999931931495666504e+00
1.438599641997434219e+03,-8.999823451042175293e+00
1.438682976983865956e+03,-9.000276863574981689e+00
1.438703810726198981e+03,-8.999728322029113770e+00
1.438724644466820791e+03,-9.000348985195159912e+00
1.438787145678438264e+03,-9.000356554985046387e+00
1.438807979412218629e+03,-8.999649763107299805e+00
1.438828813144293235e+03,-9.000214755535125732e+00
1.438995482939945077e+03,-9.000331401824951172e+00
1.439016316656854997e+03,-9.000563085079193115e+00
1.439037150372094402e+03,-9.000057220458984375e+00
1.439057984085689441e+03,-9.000162243843078613e+00
1.439078817797626243e+03,-8.999987363815307617e+00
1.439099651507920498e+03,-9.000680744647979736e+00
1.439120485216588577e+03,-9.000359594821929932e+00
1.439141318923617746e+03,-9.000317215919494629e+00
1.439162152629023467e+03,-8.999899387359619141e+00
1.439182986332822566e+03,-9.000573515892028809e+00
1.439203820035002309e+03,-9.000049054622650146e+00
1.439224653735588390e+03,-9.000196933746337891e+00
1.439245487434568076e+03,-8.999802589416503906e+00
1.439266321131958193e+03,-9.000169873237609863e+00
1.439287154827774884e+03,-9.000112414360046387e+00
1.439307988522004962e+03,-8.999973058700561523e+00
1.439349655905773716e+03,-8.999656200408935547e+00
1.439370489595315121e+03,-9.000493764877319336e+00
1.439391323283316979e+03,-8.999558210372924805e+00
1.439412156969766102e+03,-9.000171422958374023e+00
1.439453824338071399e+03,-9.000210881233215332e+00
1.439474658019930985e+03,-9.000077486038208008e+00
1.439495491700283765e+03,-8.999984979629516602e+00
1.439516325379116324e+03,-8.999705553054809570e+00
1.439537159056444807e+03,-9.000287413597106934e+00
